Dataset	Domains	Ext dom.	Prim.	D dom.	D diff ext.	D diff prim.	D/ext.	Prim. det.	Undet.
se.healthstatus.2013.higher-education-https	9	38	25	16	22	9	0.42105263157894735	0.64	0.36
se.healthstatus.2013.higher-education-https-www	24	63	45	22	41	23	0.3492063492063492	0.4888888888888889	0.5111111111111111
se.healthstatus.2013.isps-http	18	111	76	47	64	29	0.42342342342342343	0.618421052631579	0.381578947368421
se.healthstatus.2013.isps-http-www	19	135	92	55	80	37	0.4074074074074074	0.5978260869565217	0.40217391304347827
se.healthstatus.2013.isps-https	6	84	63	41	43	22	0.4880952380952381	0.6507936507936508	0.3492063492063492
se.healthstatus.2013.isps-https-www	10	89	66	43	46	23	0.48314606741573035	0.6515151515151515	0.3484848484848485
se.healthstatus.2013.media-http	26	346	190	81	265	109	0.23410404624277456	0.4263157894736842	0.5736842105263158
se.healthstatus.2013.media-http-www	28	378	207	79	299	128	0.20899470899470898	0.38164251207729466	0.6183574879227054
se.healthstatus.2013.media-https	4	102	58	24	78	34	0.23529411764705882	0.41379310344827586	0.5862068965517242
se.healthstatus.2013.media-https-www	5	95	59	28	67	31	0.29473684210526313	0.4745762711864407	0.5254237288135593
se.healthstatus.2013.municipalities-http	249	207	113	39	168	74	0.18840579710144928	0.34513274336283184	0.6548672566371682
se.healthstatus.2013.municipalities-http-www	271	203	113	39	164	74	0.1921182266009852	0.34513274336283184	0.6548672566371682
se.healthstatus.2013.municipalities-https	44	67	41	18	49	23	0.26865671641791045	0.43902439024390244	0.5609756097560976
se.healthstatus.2013.municipalities-https-www	54	73	42	18	55	24	0.2465753424657534	0.42857142857142855	0.5714285714285714
se.healthstatus.2013.public-authorities-http	170	172	110	48	124	62	0.27906976744186046	0.43636363636363634	0.5636363636363637
se.healthstatus.2013.public-authorities-http-www	203	170	111	48	122	63	0.2823529411764706	0.43243243243243246	0.5675675675675675
se.healthstatus.2013.public-authorities-https	18	32	21	9	23	12	0.28125	0.42857142857142855	0.5714285714285714
se.healthstatus.2013.public-authorities-https-www	37	63	41	23	40	18	0.36507936507936506	0.5609756097560976	0.4390243902439024
